question-word,correct answer-word, model's guess-word,label
enormously,tremendously,,guess
provisions,stipulations,,guess
haphazardly,randomly,,guess
prominent,conspicuous,,guess
zenith,pinnacle,,guess
flawed,imperfect,,guess
urgently,desperately,,guess
consumed,eaten,supplied,wrong
advent,coming,,guess
concisely,succinctly,,guess
salutes,greetings,,guess
solitary,alone,restless,wrong
hasten,accelerate,determine,wrong
perseverance,endurance,skill,wrong
fanciful,imaginative,,guess
showed,demonstrated,repeated,wrong
constantly,continually,rapidly,wrong
issues,subjects,,guess
furnish,supply,supply,correct
costly,expensive,,guess
recognized,acknowledged,,guess
spot,location,latitude,wrong
make,earn,trade,wrong
often,frequently,hardly,wrong
easygoing,relaxed,,guess
debate,argument,,guess
narrow,thin,thin,correct
arranged,planned,studied,wrong
infinite,limitless,unusual,wrong
showy,striking,,guess
levied,imposed,,guess
deftly,skillfully,,guess
distribute,circulate,research,wrong
discrepancies,differences,,guess
prolific,productive,,guess
unmatched,unequaled,,guess
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,,guess
highlight,accentuate,,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,,guess
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,,guess
essentially,basically,,guess
keen,sharp,simple,wrong
situated,positioned,isolated,wrong
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,proposed,wrong
tasks,jobs,,guess
unlikely,improbable,improbable,correct
halfheartedly,apathetically,,guess
annals,chronicles,,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,addressed,wrong
command,mastery,observation,wrong
concocted,devised,,guess
prospective,potential,,guess
generally,broadly,,guess
sustained,prolonged,lowered,wrong
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,happiness,wrong
dissipate,disperse,disguise,wrong
primarily,chiefly,,guess
colloquial,conversational,,guess
resolved,settled,settled,correct
feasible,possible,,guess
expeditiously,rapidly,,guess
percentage,proportion,,guess
terminated,ended,,guess
uniform,alike,sharp,wrong
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,,guess
bigger,larger,,guess
roots,origins,cure,wrong
normally,ordinarily,,guess
