question-word,correct answer-word, model's guess-word,label
enormously,tremendously,tremendously,correct
provisions,stipulations,jurisdictions,wrong
haphazardly,randomly,densely,wrong
prominent,conspicuous,ancient,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,fearless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,generosity,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,instantly,wrong
issues,subjects,benefits,wrong
furnish,supply,advise,wrong
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,borrow,wrong
often,frequently,hardly,wrong
easygoing,relaxed,relaxed,correct
debate,argument,election,wrong
narrow,thin,clear,wrong
arranged,planned,discarded,wrong
infinite,limitless,limitless,correct
showy,striking,incidental,wrong
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,commercialize,wrong
discrepancies,differences,deposits,wrong
prolific,productive,promising,wrong
unmatched,unequaled,unrecognized,wrong
peculiarly,uniquely,,guess
hue,color,contrast,wrong
hind,rear,rear,correct
highlight,accentuate,alter,wrong
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,orally,correct
physician,doctor,nurse,wrong
essentially,basically,basically,correct
keen,sharp,useful,wrong
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,materials,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,,guess
annals,chronicles,chronicles,correct
wildly,furiously,distinctively,wrong
hailed,acclaimed,addressed,wrong
command,mastery,mastery,correct
concocted,devised,devised,correct
prospective,potential,prominent,wrong
generally,broadly,accurately,wrong
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,isolate,wrong
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,evident,wrong
expeditiously,rapidly,repeatedly,wrong
percentage,proportion,profit,wrong
terminated,ended,evaluated,wrong
uniform,alike,hard,wrong
figure,solve,list,wrong
sufficient,enough,valuable,wrong
fashion,manner,manner,correct
marketed,sold,diluted,wrong
bigger,larger,better,wrong
roots,origins,origins,correct
normally,ordinarily,permanently,wrong
